|1: English|2: French|3. German|4. Spanish|5. Italian
BUFF_FADE|Вы временно невидимы; ваши враги не увидят вас.||||
BUFF_DRUNK_TITLE|Пьян||||
BUFF_DRUNK|Вы пьяны. Некоторые характеристики увеличены, другие снижены. Помните, что пить нужно ответственно, иначе вы можете проснуться в озере без штанов. ||||
DREAM_VAMP1_TITLE|Беспокойный сон||||
DREAM_VAMP1|Ваш сон беспокоен; ваши сны странные. ##Вы видите город сверкающих башен, превращающийся в пыль в ослепительном свете. Вы чувствуете, как монстр скользит вниз по вашему горлу, тепло и приятно. И вы слышите крики вашей матери, когда вы бежите за свою жизнь. ##Вы просыпаетесь в холодном поту. На вашей подушке кровь. ||||
DREAM_VAMP2_TITLE|Странные сны||||
DREAM_VAMP2|Вы мечтаете о путешествии через чужие города и экзотические земли. Но когда вы возвращаетесь домой, все изменилось. Вы ищете своих друзей, но не можете их найти. Вы ищете своего возлюбленного, но его нет. Вы находите своих родителей; но они мертвы и похоронены под надгробиями. ##Внезапно будущее разворачивается перед вами; ясно как день. Все, кого вы любите, превратятся в пыль. ##Вы просыпаетесь с криком. По вашей шее течет кровь. ||||
DREAM_VAMP3_TITLE|Воодушевляющие сны||||
DREAM_VAMP3|Вы мечтаете о полете через небесные земли. Ваши крылья несут вас над густыми лесами; раскинувшимися мегаполисами и рушащимися руинами. Вы приземляетесь на поле ярких цветов под зеленой звездой и чувствуете, как прохладный ветерок обнимает вас. ##Вы просыпаетесь вдохновленным, зная, что все возможно. Вы едва замечаете кровь на своей подушке. ||||
MANOR_SALE_TITLE|НА ПРОДАЖУ: Поместье Торнвуд||||
MANOR_SALE|Двухсотлетнее поместье, некогда величественное и прекрасное, пришло в упадок. ##Владения поместья занимают целый остров, недалеко к югу от Хэллоушира. С правильным инвестором это может снова стать процветающим поместьем. ##Для запросов посетите секретаря в совете Хэллоу Таун. ||||
MANOR_CLUE_TITLE|Любопытная находка||||
MANOR_CLUE_PAPERS|Вы находите бумаги и свитки пергамента, описывающие изучение различных монстров. ##Большинство из них, кажется, посвящены виерме; паразитическому организму, который использует своего хозяина, чтобы питаться снами своей жертвы. ||||
MANOR_CLUE_CIPHER|Вы находите множество документов о теории и практике шифрованной магии. Они, кажется, сосредоточены на одном заклинании, которое могло бы заключить даже самых жестоких существ, привязывая их к ограниченному радиусу. Некоторые страницы порваны, с удаленными разделами. Вы не можете найти это заклинание.||||
MANOR_CLUE_SMITHY|Здесь работала небольшая кузница; возможно, только для поддержания ограниченного личного арсенала. Лезвия странной конструкции и заржавели до неузнаваемости. Она не использовалась уже давно.||||
MANOR_CLUE_STATUE|Статуя имеет жуткое присутствие, но, похоже, некоторые элементы отсутствуют. При ближайшем рассмотрении это кажется преднамеренным. Возможно, замена отсутствующих частей откроет какую-то скрытую функцию. ||||
NOTE_MANOR_STATUE|Этой статуе, кажется, чего-то не хватает.||||
NOTE_MANOR_STATUE2|Этой статуе все еще чего-то не хватает.||||
SIGN_MANOR_MINE_TITLE|УВЕДОМЛЕНИЕ СОВЕТА СОЮЗА ВЕРООТСТУПНИКОВ||||
SIGN_MANOR_MINE|Для потенциальных или текущих владельцев поместья Торнвуд: ##Эта шахта в упадке и запечатана. ##Ее реставрация будет включена в [[Улучшение Мастерской]], доступное для покупки на [[Станции Недвижимости]].||||
SIGN_MANOR_CHAPEL|Для потенциальных или текущих владельцев поместья Торнвуд: ##Эта часовня в упадке и запечатана. ##Ее реставрация будет включена в [[Улучшение Библиотеки]], доступное для покупки на [[Станции Недвижимости]].||||
SIGN_MANOR_CAVE|Для потенциальных или текущих владельцев поместья Торнвуд: ##Эта пещера в упадке и запечатана. ##Ее реставрация будет включена в [[Улучшение Сада]], доступное для покупки на [[Станции Недвижимости]].||||
SIGN_CWK_MAIN_TITLE|ВНИМАНИЕ ВСЕМ ГРАЖДАНАМ||||
SIGN_CWK_MAIN1|В ответ на недавние злодеяния мерзкого САБОТАЖНИКА, Слуги Его Величества проводят ОПЕРАЦИЮ БЕЗОПАСНОСТИ в этом районе.##Любой, кто нарушит этот приказ, будет считаться агентом Саботажника и будет обращаться соответствующим образом.##ДА ЗДРАВСТВУЕТ КОРОЛЬ.##Век 0, Год 27, Месяц 6, День 45||||
SIGN_CWK_MAIN2|Крайне важно, чтобы вы немедленно сообщали обо всех признаках Коррупции соответствующим властям в вашем районе. ЗНАЙТЕ ЭТИ ЗНАКИ:##1) Необычное поведение или физические дефекты у скота и других животных.##2) Путаница в поиске пути через знакомые места.##3) Миражи зрения и слуха.##4) Вкус или запах сирени там, где её нет.##ДА ЗДРАВСТВУЕТ КОРОЛЬ.##Век 0, Год 26, Месяц 3, День 13||||
SIGN_CWK_OLEG_TITLE|На работе||||
SIGN_CWK_OLEG|Назад - Не ваше дело!!! ##Строго НЕТ листовкам, брошюрам, миссионерам, колядующим, коллекционерам ногтей или другим негодяям. ##ОСТЕРЕГАЙТЕСЬ ЧЕЛОВЕКА. ##- Олег Мышкин||||
SIGN_CWK_PROG_AD|Город ((ПРОГРЕСС)) — это место, где наше славное Королевство ((КУЕТ БУДУЩЕЕ)) — своими руками. Увлекательные возможности доступны для: ##Плетельщиков проволоки ##Фосфорных усов ##Операторов паровых токарных и сверлильных станков ##Работников сжатого воздуха (применяется опасная оплата) ##Граверов рун на инфракорпусах (должны быть ниже 4 футов 11 дюймов) ##Фумигаторов и дезактиваторов Пустоты ##ДА ЗДРАВСТВУЕТ КОРОЛЬ. Век 0, Год 19, Месяц 6, День 59||||
SIGN_CWK_SCHOOLHOUSE_TITLE|Экстренный график работы||||
SIGN_CWK_SCHOOLHOUSE|Граждане Вонг, Мюррей, Устинов – Охрана школы ##Граждане Хайнц, Крупке, Сингх, Гзарян – Патрулирование улиц ##Граждане Рот, Дойл, Филипович – Проверки благосостояния и обслуживание баррикад ##Гражданин Онвура – Дежурство в яслях ##Граждане Галло и Кензи – Дежурство в лазарете ##Гражданин Мьюир – Квартирмейстер и ведущий талант-шоу.||||
SIGN_PWYLL_LIFT_T|ЛЕС ПВИЛЛ||||
SIGN_PWYLL_LIFT|Эта платформа ведет вниз к [[Лесу Пвилл.]] ##ОСТОРОЖНО: В отличие от новомодных двунаправленных лифтов Хэллоушира, этот лифт однонаправленный. ||||
DIRECTION_WAYSIGN_T|Указатель гласит:||||
DIRECTION_BL|Этот путь ведет к ##[[ОСЛЕПЛЯЮЩЕМУ СВЕТУ]]##Крепость.||||
DIRECTION_PWYLL|Этот путь ведет к ##[[ПВИЛЛ]],##Дом деревни Пвилл.||||
DIRECTION_PWYLLVILLAGE|Этот путь ведет к ##[[ДЕРЕВНЕ ПВИЛЛ]],##Поставщикам пророческого чая из скригриба.||||
DIRECTION_ONIONS|Этот путь ведет к ##[[ФОРТУ ВОЙНЫ БОГОВ]].##((Выше зачеркнуто, и кто-то нацарапал))##Лагерь наемников Гнилой Луковицы||||
DIRECTION_SACREDSHROOM_NOTE|Этот путь ведет к ##[[СВЯЩЕННОМУ ГРИБУ]].##((Кто-то нацарапал)) Чёрт Аэнгуин ((внизу.))||||
DIRECTION_SACREDSHROOM|Этот путь ведет к ##[[СВЯЩЕННОМУ ГРИБУ]].||||
DIRECTION_NOGGIN|Этот путь ведет к ##[[ШАТКОЙ БАШКЕ]].##Старая таверна, подающая эль и предоставляющая ночлег.||||
DIRECTION_HALLOWSHIRE|Этот путь ведет к ##[[ХЭЛЛОУШИР]]##((Добавлена заметка:))##Находится под управлением Совета Хэллоу Таун с 1442 года.||||
DIRECTION_HALLOWTOWN|Этот путь ведет к ##[[ХЭЛЛОУ ТАУН]].## ||||
DIRECTION_RUSTBURG|Этот путь ведет к ##[[РАСТБУРГ]].## ||||
DIRECTION_THORNWOOD|Этот путь ведет к ##[[ПОМЕСТЬЮ ТОРНВУД]].## ||||
DIRECTION_BELLTOWER|Этот путь ведет к ##[[КОЛОКОЛЬНЕ ХЭЛЛОУ]].## ((Знак старый и потрепанный.))||||
DIRECTION_HALLOWCASTLE|Этот путь ведет к ##[[ЗАМКУ ХЭЛЛОУ]].## ((Кто-то нацарапал)) ПРОКЛЯТОЕ МЕСТО ((внизу)).||||
DIRECTION_HALLOWMINES|Этот путь ведет к ##[[ШАХТАМ ХЭЛЛОУ]].## ((Кто-то нацарапал)) БАНДИТЫ ((внизу)).||||
DIRECTION_PAEGUTHRUINS|Этот путь ведет к ##[[РУИНАМ ПИГУТА]].##||||
DIRECTION_SKIFF|Этот путь ведет к ##[[ДОКУ ДЛЯ ЛОДОК]].##||||
DIRECTION_ENDLESS|Этот путь ведет к ##[[ЗЕМЛЯМ ВЕЧНЫХ]].##||||
DIRECTION_SEPULCHRE|Этот путь ведет к ##[[ГОРОДУ СЕПУЛЬХР]].##||||
DIRECTION_CADAVERKEEP|Этот путь ведет к ##[[КРЕПОСТИ КАДАВРОВ]].##||||
DIRECTION_FLESHFARM|Этот путь ведет к ##[[ФЕРМАМ ПЛОТИ]].## Пожалуйста, посетите уважаемого Кающегося Тхава для запросов. ||||
DIRECTION_ENDLESSMINES|Этот путь ведет к ##[[КРИСТАЛЬНЫМ ШАХТАМ]].##||||
DIRECTION_MINES|Этот путь ведет к ##[[ШАХТАМ]].##||||
DIRECTION_MAUSOLEUM|Этот путь ведет к ##[[МАВЗОЛЕЮ VII]].##||||
DIRECTION_MAUSOLEUM2|Этот путь ведет к ##[[МАВЗОЛЕЮ IX]].##||||
DIRECTION_RHYDDER|Этот путь ведет к ##[[ПОМЕСТЬЮ РИДДЕРА]].##||||
DIRECTION_DUCHESS|Этот путь ведет к ##[[ПОМЕСТЬЮ ГЕРЦОГИНИ]].##||||
DIRECTION_EMBERIANRUIN|Этот путь ведет к ##[[РУИНАМ ЭМБЕРИАНЦЕВ]].##||||
DIRECTION_CWK|Этот путь ведет к ##[[КОРОЛЕВСТВУ МЕХАНИЗМОВ]].## ((Кто-то нацарапал)) Королевство СЛОМАНО||||
DIRECTION_FER|Этот путь ведет к ##[[ФЕРРОПОЛИС]],## Самый большой и процветающий город на Островах Грёз. ||||
DIRECTION_VISIONWORKS|Этот путь ведет к ##[[КОРОЛЕВСКОЙ МАСТЕРСКОЙ ВИДЕНИЙ]].##Узнайте сегодня о работе сновидца. Королевство хочет ваших снов! ||||
DIRECTION_MOROZOV|Этот путь ведет к ##[[БАШНЕ МОРОЗОВА]].##||||
DIRECTION_FROST|Этот путь ведет к ##[[МЕСТУ СЭМА]].## ((Добавлена грубая заметка:))##Истории Горация Меткалфа рулят! ||||
DIRECTION_CORRUPTED|Этот путь ведет к ##[[ИСКАЖЕННЫМ ЗЕМЛЯМ]].##По приказу Короля, всем гражданам запрещено входить. ||||
DIRECTION_PROGRESS|Этот путь ведет к ##[[ПОТЕРЯННОМУ ГОРОДУ ПРОГРЕССА]].##((Прикрепленная заметка:)) Эти руины ЗАПРЕТНЫ.||||
DIRECTION_OBJGRAVE|Этот путь ведет к ##[[КЛАДБИЩУ ОБЪЕКТОВ]].##Не мусорить!||||
DIRECTION_BEACON|Этот путь ведет к ##[[КОРОЛЕВСКОМУ МАЯКУ]].##Только машинисты допускаются.||||
DIRECTION_LIBUNTRUTH|Этот путь ведет к ##[[БИБЛИОТЕКЕ ЛЖИ]].##||||
DIRECTION_CLEANUP|Этот путь ведет к ##[[ЛАГЕРЮ ОЧИСТКИ]].##||||
MAP_HW_MID|Центральный Хэллоушир||||
MAP_HW_EAST|Восточный Хэллоушир, Фермы||||
MAP_HW_WEST|Западный Хэллоушир, Лес||||
MAP_HW_SOUTH|Южный Хэллоушир, Болота||||
MAP_EN_NORTH|Северный регион Вечных||||
MAP_EN_MID|Центральный регион Вечных||||
MAP_EN_SOUTH|Южный регион Вечных||||
MAP_ST|Убежище Темных Звезд||||
MAP_CWK_NORTH|Северное Королевство Механизмов||||
MAP_CWK_MID|Центральное Королевство Механизмов||||
MAP_CWK_SOUTH|Южное Королевство Механизмов||||
MAP_ENDGAME_NW|Северо-Западные окраины||||
MAP_ENDGAME_NE|Северо-Восточные окраины||||
MAP_ENDGAME_SW|Юго-Западные окраины||||
MAP_ENDGAME_SE|Юго-Восточные окраины||||
LMRK_FARM|Рейд Инквизиции||||
LMRK_TREE|Дупло дерева||||
LMRK_RIVER|Вертикальная раковина||||
LMRK_HALLOWTOWN|Хэллоу Таун||||
LMRK_MAUSOLEUM_N|Северный Мавзолей||||
LMRK_MAUSOLEUM_S|Южный Мавзолей||||
LMRK_FLESH|Ферма Плоти Кающегося Тхава||||
LMRK_SEPULCHRE|Сепульхр||||
LMRK_RHYDDER|Поместье Лорда Риддера||||
LMRK_VELA|Крепость Велы||||
LMRK_BELLTOWER|Колокольня||||
LMRK_DUNGEON|Подземелье Пигута||||
LMRK_TOWER|Башня Бандитов||||
LMRK_TYPHOS|Золотой Тифос||||
LMRK_CASTLE|Замок Хэллоу||||
LMRK_CARTO_HW|Палатка Картографа||||
LMRK_WITCH|Странный дом||||
LMRK_EMBERIAN|Хранилище Эмберианцев||||
LMRK_ACADEMY|Академия Эрудитов||||
LMRK_WIKKAN_ISLE|Остров Викканов||||
LMRK_RIBS|Замок Ребер||||
LMRK_WYRM|Разумный Червь||||
LMRK_THORNWOOD|Поместье Торнвуд||||
LMRK_DUCHESS|Поместье Герцогини||||
LMRK_VERDANT|Руины Верданта||||
LMRK_CADAVERKEEP|Крепость Кадавров||||
LMRK_RUSTBURG|Растбург||||
LMRK_EMBERIANDUNGEON|Хранилище Эмберианцев||||
LMRK_KNIGHTHIDEOUT|Руины Эмберианцев||||
LMRK_UNTRUTHS|Библиотека Лжи||||
LMRK_FERROPOLIS|Феррополис||||
LMRK_CLEANUPCAMP|Лагерь Очистки||||
LMRK_FROST|Приют Мечтателя||||
LMRK_OBJGRAVEYARD|Кладбище Объектов||||
LMRK_VISIONWORKS|Королевская Мастерская Видений||||
LMRK_PROGRESS|Потерянный Город Прогресса||||
LMRK_BEACON|Королевский Маяк||||
LMRK_DIGGER|Двигатель для копания||||
LMRK_MOROZOV|Башня Морозова||||
LMRK_SACREDSHROOM|Священный Гриб||||
LMRK_PWYLLVILLAGE|Деревня Пвилл||||
LMRK_ROTTENONIONS|Гнилая Луковица||||
LMRK_MECH|Механизм Войны Богов||||
LMRK_GODSKELETON|Скелет Бога||||
LMRK_SNAIL|Секретный магазин||||
LMRK_CRASHEDSHIP|Разбитый корабль Эмберианцев||||
LMRK_MOLLUSC|Ковен Моллюска||||
SUMMON_SKELETON_0|Бинго||||
SUMMON_SKELETON_1|Крикун||||
SUMMON_SKELETON_2|Предсмертный хрип||||
SUMMON_SKELETON_3|Риппер||||
SUMMON_ARCHER_0|Убийца богов||||
SUMMON_ARCHER_1|Друг||||
SUMMON_ARCHER_2|Не сдавайся||||
SUMMON_ARCHER_3|Брызги крови||||
SUMMON_CASTER_0|Яркие кости||||
SUMMON_CASTER_1|Взрывник||||
SUMMON_CASTER_2|Токсичный дым||||
SUMMON_CASTER_3|Книжный червь||||
SUMMON_SHIELD_0|Трус||||
SUMMON_SHIELD_1|Гроза города||||
SUMMON_SHIELD_2|Блондин||||
SUMMON_SHIELD_3|Железная кровь||||
SUMMON_SPIDER_0|Ржавые челюсти||||
SUMMON_SPIDER_1|Лошадиная сила||||
SUMMON_SPIDER_2|Джимми||||
SUMMON_SPIDER_3|Существо||||
PWYLL_RITUAL_T|Оккультные инструменты||||
PWYLL_RITUAL|Различные оккультные инструменты разбросаны по комнате. Они собраны в хаотичной, любительской манере — но, тем не менее, кажется, они работают как надо. Всепроникающее чувство страха наполняет воздух, и хотя колоссальный труп бога, доминирующий в комнате, кажется безжизненным — вы чувствуете присутствие чего-то древнего. ##Среди хлама вы находите ключ, покрытый крошечными грибами. Кулвич захочет узнать об этом. ||||
PWYLL_NAUTILOB_T|Подозрительные заметки||||
PWYLL_NAUTILOB|На столе лежит множество набросков, в основном касающихся заклинаний иллюзий. Из того, что вы здесь находите, можно сделать вывод, что кто-то пытался создать иллюзию значительного масштаба. Также есть множество анатомических зарисовок наутилобов... ##Кажется, что гигантский монстр — это вовсе не то, чем кажется. Это был обман с самого начала. ||||
PWYLL_MAYOR_BASEMENT_T|Антиквариат Викканов||||
PWYLL_MAYOR_BASEMENT|Вы находите набор антиквариата Викканов; заметки о ритуалах-контрактах, старые пыльные одежды и множество незнакомых инструментов.||||
PWYLL_SACREDSHROOM_T|Тошнотворный запах||||
PWYLL_SACREDSHROOM|Тошнотворный запах желчи наполняет плотоядную камеру. Перед вами огромный пищеварительный тракт пульсирует и бьется в коррозийной кислоте. ##Кажется, что у этого гриба есть ((органы.)) ##Вы едва можете разглядеть фигуру, корчащуюся за слоями полупрозрачной плоти; вам стоит исследовать это.||||
CRYSTALSKULL_INACTIVE|Ничего не происходит.||||
CRYSTALSKULL_TIMERSTART|Вы чувствуете внезапное чувство срочности...||||
CRYSTALSKULL_TIMERFAIL|Где-то песочные часы опустели. ||||
CRYSTALSKULL_COMPLETE|Внезапное чувство эйфории: все черепа пробуждены. ||||
CRYSTALSKULL_SIGN|Лучший рекорд:||||
CRYSTALSKULL_TIMETRIAL|Сможете ли вы побить свой лучший результат?||||
CRYSTALSKULL_FAST|Новый рекорд!||||
CRYSTALSKULL_SLOW|Слишком медленно...||||
STAT_PLAYERKILLS|Убийства игроков||||
STAT_PLAYERDEATHS|Смерти игроков||||
STAT_SUMMONKILLS|Убийства призванных существ||||
STAT_ENTICELEVEL|Уровень Соблазна||||
STAT_TEASDRUNK|Выпито чая||||
STAT_BEERSDRUNK|Выпито пива||||
CONTEXT_PLAYERKILLS|Общее количество жизней, человеческих или иных, которые вы забрали.||||
CONTEXT_PLAYERDEATHS|Общее количество раз, когда Цепной Бог вытаскивал вас из пасти смерти. ||||
CONTEXT_SUMMONKILLS|Общее количество жизней, которые ваши призванные существа забрали от вашего имени.||||
CONTEXT_ENTICELEVEL|Ваш текущий уровень заклинания Соблазна, используемый для определения, может ли враг быть соблазнен сражаться за вас. Базовый уровень определяется вашим навыком Обаяния, но определенные модификаторы могут увеличить Соблазнение еще больше. ||||
CONTEXT_TEASDRUNK|Количество чая, которое вы выпили. Помните, что нужно регулярно делать перерывы на чай, желательно где-нибудь с прекрасным видом. ||||
CONTEXT_BEERSDRUNK|Количество пива, которое вы выпили. Пожалуйста, пейте ответственно и не управляйте своим воздушным судном в состоянии опьянения. ||||
INTRO_SUB1|Наш мир давно расколот||||
INTRO_SUB2|но надежда ещё теплится||||
INTRO_SUB3|в наших темнейших грёзах.||||
INTRO_SUB4|Мало кто догадался бы, что наша судьба||||
INTRO_SUB5|будет решена на Островах Грёз||||
INTRO_SUB6|почти забытый архипелаг||||
INTRO_SUB7|южных Небесных Земель.||||
INTRO_SUB8|На этих зловещих островах||||
INTRO_SUB9|Союз Вероотступников||||
INTRO_SUB10|опьянённый властью, истребив||||
INTRO_SUB11|своих некогда почитаемых богов||||
INTRO_SUB12|...влияние его ничтожно.||||
INTRO_SUB13|Под их невнимательным взглядом||||
INTRO_SUB14|в глубоких лесах и темных местах||||
INTRO_SUB15|кишат убийцами... культистами||||
INTRO_SUB16|...и хуже.||||
INTRO_SUB17|В пустынном царстве Вечных||||
INTRO_SUB18|несчастные души томятся в бессмертии||||
INTRO_SUB19|в ветхих мавзолеях||||
INTRO_SUB20|...тоскуя по утраченной смертности.||||
INTRO_SUB21|В то время как Королевство Механизмов||||
INTRO_SUB22|управляемое извращенной логикой||||
INTRO_SUB23|его искусственного монарха||||
INTRO_SUB24|стремится изменить не только это королевство||||
INTRO_SUB25|...но саму реальность.||||
INTRO_SUB26|Все эти края имеют свою роль||||
INTRO_SUB27|в этой разворачивающейся истории.||||
INTRO_SUB28|Но это начинается глубоко внизу в подземельях||||
INTRO_SUB29|разорённая пустошь||||
INTRO_SUB30|где никто не может дышать долгое время.||||
INTRO_SUB31|Именно здесь таится тайна||||
INTRO_SUB32|которую предстоит раскрыть||||
INTRO_SUB33|кем-то, чьи грёзы||||
INTRO_SUB34|пылают ярче всех.||||
INTRO_SUB35|...но разожгут ли те грёзы||||
INTRO_SUB36|в сияющую судьбу?||||
INTRO_SUB37|Или мы сгорим||||
INTRO_SUB38|...в безумии Заблуждения?||||
Escape|Escape||||
Space|Пробел||||
Enter|Enter||||
Tab|Tab||||
Up Arrow|Стрелка вверх||||
Down Arrow|Стрелка вниз||||
Left Arrow|Стрелка влево||||
Right Arrow|Стрелка вправо||||
Left Shift|Левый Shift||||
Right Shift|Правый Shift||||
Shift|Shift||||
Left Alt|Левый Alt||||
Right Alt|Правый Alt||||
Alt|Alt||||
Left Control|Левый Ctrl||||
Right Control|Правый Ctrl||||
Control|Ctrl||||
Left System|Левый Win||||
Right System|Правый Win||||
Context Menu|Контекстное меню||||
Backspace|Backspace||||
Page Down|Page Down||||
Page Up|Page Up||||
Home|Home||||
End|End||||
Insert|Insert||||
Delete|Delete||||
Caps Lock|Caps Lock||||
Num Lock|Num Lock||||
Print Screen|Print Screen||||
Scroll Lock|Scroll Lock||||
Pause/Break|Pause/Break||||
Numpad Enter|Numpad Enter||||
Numpad /|Numpad /||||
Numpad *|Numpad *||||
Numpad +|Numpad +||||
Numpad -|Numpad -||||
Numpad .|Numpad .||||
Numpad =|Numpad =||||
Numpad 1|Numpad 1||||
Numpad 2|Numpad 2||||
Numpad 3|Numpad 3||||
Numpad 4|Numpad 4||||
Numpad 5|Numpad 5||||
Numpad 6|Numpad 6||||
Numpad 7|Numpad 7||||
Numpad 8|Numpad 8||||
Numpad 9|Numpad 9||||
Numpad 0|Numpad 0||||
Left Button|Левая кнопка||||
Right Button|Правая кнопка||||
Middle Button|Средняя кнопка||||
Forward|Вперёд||||
Back|Назад||||
Left/Right|Влево/Вправо||||
Up/Down|Вверх/Вниз||||
