J| if parent matches ID, it's a task, not a stage.  (6) REQ'D STAGES: break up with commas Requires the player to have one of these as their active stage. Rarity: 0-poor,1-common,2-fine,3-shroom,4-cwk,5-void. if removeRarity is left blank it does not require rarity. (13) Needs item will only check the first req'd item. (14) removeItem(s) will create a list. They will ALL use the same itemRarity, if applicable. NEW:l IF REMOVING KEY ITEM WHICH IS STACKABLE, TASK WILL NOW REMOVE WHOLE STACK. IF WE EVER NEED TO REMOVE 1 SINGLE STACKABLE KEY ITEM WE NEED TO ADD A NEW FIELD OF ITEM AMOUNT.|||||||||||||||||||||||
0: ID|1: parent|2: spriteID|3:startsTask|4:completes|5:ignoreHchy|6:req'dStages|7:trueFacts|8: falseFacts|9:keyItemNeeded|10: itemID|11: itemRarity|12: coin|13: glimmer|14:needsItem|15:removeItem(s)|16:remveRarity|17:FactionEnums|18:FactionInts|19:sortNum|20: English|21: French|22: German|23: Spanish|24: Italian
60|cwkMadness||||||cwk_AphraMetMirror|||||||||||||The Clockwork King has gone mad, erasing its own citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes you can help her fix it. ##First, Aphra asked you to search the graveyard northwest of Ferropolis for a hidden message from the King. The graveyard keeper can tell you more.||||
64|cwkMadness|||||60||||||||||||||The Clockwork King has gone mad, erasing its own citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes you can help her fix it. ##Aphra asked you to search the graveyard northwest of Ferropolis for a hidden message from the King, but the gate is locked. You'd best find the graveyard keeper's hut.||||
65|cwkMadness|||||||||||||||||||The Clockwork King has gone mad, erasing its own citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes you can help fix it. ##First, Aphra asked you to search the object graveyard northwest of Ferropolis for a hidden message from the King. Start with those mysterious yellow boxes the graveyard keeper mentioned.||||
70|cwkMadness||||||cwk_RoyalSilkslugs|||||||||||||The Clockwork King has gone mad, erasing citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes you can help fix it. ##You transcribed a secret message left by the King in the object graveyard northwest of Ferropolis. ##Return to Aphra in the park in Ferropolis after nightfall.||||
80|cwkMadness|||||||||||||||||||The Clockwork King has gone mad, erasing its own citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes you can help fix it. ##To speak with the King, you'll need a mechanical implant installed into your skull. Seek out Morozov the cranial engineer in the mountains north of Ferropolis.||||
85|cwkMadness|||||80|cwk_MorozovWaitingInstall|cwk_MorozovToldAphra||||||||||||The Clockwork King has gone mad, erasing citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes you can help fix it. ##You persuaded the reclusive Morozov to install a Cranial Moderator into your skull so you can speak to the King. ##Talk to Morozov again in her alpine tower when you're ready to install it.||||
90|cwkMadness|||||||||||||||||||The Clockwork King has gone mad, erasing citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes you can help fix it. ##You persuaded the reclusive Morozov to install a Cranial Moderator into your skull so you can speak to the King. ##Return to Aphra in the park in Ferropolis after nightfall for your next task.||||
100|cwkMadness|||||||||||||||||||The Clockwork King has gone mad, erasing citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes you can help fix it. ##To secure an audience with the King, you must travel into the Corrupted Lands and reactivate a disused communication beacon. ##The beacon is on a hilltop far east of Ferropolis, across a huge artificial ditch.||||
110|cwkMadness||||||cwk_TeaPot|cwk_RoyalSilkslugs||||||||||||Aphra's plan to fix the Clockwork King is nearing fruition. You travelled into the Corrupted Lands and activated a disused communication beacon. ##But afterwards you received a transmission from Mikhail the smuggler, warning you not to trust Aphra and asking you to seek out his mysterious 'friends'. ##Find a market trader named Reza in Ferropolis and mention the 'seventh letter', before or after returning to Aphra.||||
115|cwkMadness||||||cwk_TeaPot|cwk_RoyalSilkslugs||||||||||||Aphra's plan to fix the Clockwork King is nearing fruition. You travelled into the Corrupted Lands and activated a disused communication beacon. ##But afterwards you received a transmission from a mysterious voice, warning you not to trust Aphra. ##The voice asked you to find a market trader named Reza in Ferropolis and mention the 'seventh letter', before or after returning to Aphra.||||
120|cwkMadness|||||||||||||||||||Aphra's plan to fix the Clockwork King is nearing fruition. But a shadowy rebel group has reached out to you with a different offer... ##You met with Reza, an undercover Saboteur, who gave you a punchcard that would kill the King. ##Return to Aphra for your final task. She waits for you at the park gazebo at night.||||
125|cwkMadness|||||||||||||||||||You've secured a second audience with the Clockwork King, and a chance to end its madness. ##Aphra gave you a punchcard that will reform the King's powers, which must be inserted inside its sanctum atop the Machinarium. ##Yet a mystery third party warned you not to trust Aphra, asking you to find a trader named Reza in Ferropolis and mention the 'seventh letter'. ##Of course, Speaker Sunil would surely reward you for reporting Aphra's plot...||||
130|cwkMadness|||||||||||||||||||You've secured a second audience with the Clockwork King, and a chance to end its madness. ##Aphra gave you a punchcard that will reform the King's powers, which must be inserted inside its sanctum atop the Machinarium.  ##Reza the Saboteur gave you another punchcard that will destroy the King, ending its tyranny but plunging the kingdom into chaos. ##Of course, Speaker Sunil would surely reward you for reporting Aphra's plot...||||
140|cwkMadness||||||cwk_AidedAphra, cwk_winterOver|cwk_AidedReza, cwk_BetrayedAphra,cwk_TeaPot||||||||||||You enacted Aphra's spell upon the Clockwork King, reforming its powers so that it can only alter people according to their own wishes. ##Aphra will be overjoyed. She's waiting in the park in Ferropolis after nightfall, with your reward.||||
150|cwkMadness||||||cwk_AidedReza, cwk_winterOver|cwk_AidedAphra,cwk_BetrayedAphra,cwk_TeaPot||superPick||||||||||You enacted the Saboteur's spell upon the Clockwork King, ending its tyranny and setting the kingdom on a path to chaos. ##Aphra will want to know what happened. She's waiting for you in the park in Ferropolis after nightfall.||||
200|cwkMadness|||Yes|||cwk_BetrayedAphra,cwk_SunilEndingLine|cwk_AidedAphra,cwk_AidedReza,cwk_TeaPot|||||3|||||||You betrayed Aphra's reformist plot to the Machinists' Guild, and were richly rewarded for your service. ##The madness of the Clockwork King will continue, as will the perpetual winter and mass vanishings that plague this land. But that's not your problem, is it?||||
205|cwkMadness|||Yes|||cwk_BetrayedAphra,cwk_SunilEndingLine|cwk_AidedAphra,cwk_AidedReza,cwk_TeaPot|||||3|||||||You betrayed Aphra's reformist plot to the Machinists' Guild, only to forfeit the rich reward you were offered. ##The madness of the Clockwork King will continue, as will the perpetual winter and mass vanishings that plague this land. But that's not your problem, is it?||||
210|cwkMadness|||Yes||140|cwk_SunilEndingLine|||summonSpider|||3|||||||You enacted Aphra's spell upon the Clockwork King, reforming its powers so that it can only alter people according to their own wishes. ##The King's reign will continue, but it will begin to repair its madness. It will be long and uncertain process, but thanks to you there is hope for the Clockwork Kingdom.||||
215|cwkMadness|||Yes||150|cwk_SunilEndingLine|||summonSpider|||3|||||||You enacted the Saboteur's spell upon the Clockwork King, locking it into an irreversible shutdown sequence. ##The King's madness will end, along with its reign, and the Kingdom will be plunged into chaos. Maybe something better will grow from the rubble.##You have fooled Aphra into believing that this is all the result of her spell.||||
220|cwkMadness|||Yes||150|cwk_SunilEndingLine||||||3|||||||You enacted the Saboteur's spell upon the Clockwork King, locking it into an irreversible shutdown sequence. ##The King's madness will end, along with its reign, and the Kingdom will be plunged into chaos. Maybe something better will grow from the rubble.||||
cwkMissing|cwkMissing|QuestClockwork|||||||||||||||||40|Missing Persons||||
10|cwkMissing||Yes||||cwk_SunilStartedQuest|||||||||||||Sunil, the chief adviser to the Clockwork King, has asked you to investigate a message left on the missing persons noticeboard in Ferropolis by a grieving father called 'Olaf' or 'Omar'. ##You can find the noticeboard down underneath the bridge that leads to the Machinarium.||||
20|cwkMissing||Yes|||||||||||||||||Someone named 'Oleg Igorovich' left a haunting message on the missing persons noticeboard in Ferropolis, asking for his child to come home. Perhaps you can help? ##The notice gave directions to a house on the islet northeast of the Machinarium, accessed via the city's rear gate.||||
25|cwkMissing|||||||||||||||||||You met an off-duty border guard named Oleg in Ferropolis who was ranting drunkenly about his missing child. ##Before you can get any more detail from him, you'll need to sober him up. ||||
30|cwkMissing|||||||||||||||||||Oleg's missing child has somehow been erased from his memory, and he cannot grieve until he knows their name. ##Though almost too proud to accept your help, Oleg gave you his child's locket and told you to seek the 'Library of Untruths' somewhere west of Ferropolis.||||
35|cwkMissing||||||cwk_LibrarianExplainedChild|||||||||||||Oleg's missing child has been erased from his memory, and he cannot grieve until he knows their name. ##You found the Library of Untruths, a secret archive of things vanished from reality by the Clockwork King, but the librarian is unable to discuss anything sensitive. Perhaps there's some way to bypass her taboo?||||
40|cwkMissing||||||cwk_LibraryDoorOpen|cwk_SunilNeedsHelp||||||||||||Oleg's missing child has been erased from his memory, and he cannot grieve until he knows their name. ##You found the Library of Untruths, a secret archive of things vanished from reality by the Clockwork King, and persuaded the librarian to give you access to the reading room upstairs.||||
50|cwkMissing|||||||||||||||||||You're searching for Oleg's missing child, who has somehow been erased from his memory. ##You found the child's official file in the Library of Untruths, learning that they were part of a secret experiment called Project Horoscope. ##The child's last known location was a place called Istrik Oblast. You'd better ask the librarian what she makes of it.||||
60|cwkMissing||||||cwk_LookingForHuang|||||||||||||You're searching for Oleg's missing child, who has somehow been erased from his memory. ##You found the child's official file in the Library of Untruths, learning that they were part of a secret experiment called Project Horoscope. ##The child was last seen in the Corrupted Lands, far southeast of Ferropolis. Find the royal cleanup camp and see if anyone there can help.||||
63|cwkMissing||||||cwk_LookingForHuang|||||||||||||You traced Oleg's missing child to the Corrupted Lands, where cleanup workers of the Clockwork King battle a magical curse. ##If you want to examine the Corrupted Ones in the cage, you'll need permission from Cleanup Leader Huang in the cleanup camp's main building.||||
65|cwkMissing|||||||cwk_LookingForHuang||||||||||||You traced Oleg's missing child to the Corrupted Lands, where cleanup workers of the Clockwork King battle a magical curse. ##Cleanup Leader Huang gave you permission to inspect the captured Corrupted Ones at his cleanup camp. ##Speak to Cleanup Worker Cohen to open the cage.||||
70|cwkMissing|||||||||||||||||||You traced Oleg's missing child to the Corrupted Lands, where cleanup workers of the Clockwork King battle a magical curse. ##A captured Corrupted One at the cleanup camp seemed to recognise Oleg's locket, but you couldn't understand its words. ##Perhaps Cleanup Worker Cohen can tell you more.||||
80|cwkMissing||||||cwk_CohenWantsModerator,cwk_KnowMorozov|||||||||||||You traced Oleg's missing child to the Corrupted Lands, where cleanup workers of the Clockwork King battle a magical curse. ##A captured Corrupted One seemed to recognise Oleg's locket, but you need a clockwork skull implant to understand its words. ##Seek out Morozov the cranial engineer in a tower in the mountains north of Ferropolis.||||
90|cwkMissing||||||cwk_CohenWantsModerator|||||||||||||You traced Oleg's missing child to the Corrupted Lands. A captured Corrupted One seemed to recognise Oleg's locket, but you need a clockwork skull implant to understand its words. ##Morozov the cranial engineer is willing to help if you retrieve her lost parcel. Search the road leading to her tower in the mountains north of Ferropolis.||||
95|cwkMissing||||||cwk_CohenWantsModerator|||||||||||||You traced Oleg's missing child to the Corrupted Lands. A captured Corrupted One seemed to recognise Oleg's locket, but you need a clockwork skull implant to understand its words. ##You found a lost parcel belonging to Morozov the cranial engineer. Bring it back to her tower in the mountains north of Ferropolis, then secure her help.||||
100|cwkMissing||||||cwk_CohenWantsModerator,cwk_MorozovWaitingInstall|cwk_MorozovToldCohen||||||||||||You traced Oleg's missing child to the Corrupted Lands, where a captured Corrupted One seemed to recognise Oleg's locket. ##You persuaded a reclusive engineer named Morozov to give you a mechanical skull implant so you can understand the Corrupted. ##Talk to Morozov again in her alpine tower when you're ready to install it.||||
110|cwkMissing|||||||||||||||||||You traced Oleg's missing child to the Corrupted Lands, where a captured Corrupted One seemed to recognise Oleg's locket. ##You persuaded a reclusive engineer named Morozov to give you a mechanical skull implant so you can understand its words. ##Return to the cleanup camp and speak to the Corrupted One again.||||
120|cwkMissing||||||cwk_CorruptedAphraMet,cwk_CorruptedOnesMet|||||||||||||You learned the fate of Oleg's missing daughter, Aphra, who was consumed by Corruption after taking part in a secret experiment called Project Horoscope. ##You could return to Oleg's house in Ferropolis and tell him what you found. ##But perhaps you should first confront Speaker Sunil at the Machinarium, and get the whole truth about Project Horoscope. ||||
130|cwkMissing||||||cwk_KnowHoroscopeTruth|||||||||||||You learned the fate of Oleg's missing daughter, Aphra, who was consumed by Corruption after taking part in a secret experiment called Project Horoscope. ##When confronted, Speaker Sunil admitted that Horoscope was an early test of the Clockwork King's power to magically alter people, and perhaps at the root of the Corruption. ##All that's left is to return to Oleg in his house on the northeast islet of Ferropolis.||||
140|cwkMissing||||||cwk_OlegGaveCandle|||||||||||||You learned the fate of Oleg's missing daughter, Aphra, who was consumed by Corruption after serving as a test subject for the Clockwork King's reality-altering powers. ##After listening to your tale, Oleg made one last request: light a candle for her at the missing persons noticeboard in Ferropolis.||||
150|cwkMissing|||Yes||||||portalLocket|||2|||||||You learned the fate of Oleg's missing daughter, Aphra, who was consumed by Corruption after serving as a test subject for the Clockwork King's reality-altering powers. ##As a reward, Oleg gave you the key to a lost freight capsule on an outlying island, which can only be reached by air. ##You returned Oleg's locket to him, then lit a candle for Aphra at the missing persons noticeboard in Ferropolis.||||
160|cwkMissing|||Yes||||||portalLocket|||2|||||||You learned the fate of Oleg's missing daughter, Aphra, who was consumed by Corruption after serving as a test subject for the Clockwork King's reality-altering powers. ##As a reward, Oleg gave you the key to a lost freight capsule on an outlying island, which can only be reached by air. ##You left Oleg's locket with whatever remains of his daughter, then lit a candle for her at the missing persons noticeboard in Ferropolis.||||
cwkVisionTrade|cwkVisionTrade|QuestClockwork|||||||||||||||||40|The Vision Trade||||
10|cwkVisionTrade||Yes||||cwk_VidalStartedQuest,cwk_VisionTradeStarted,cwk_LookingForYasmeen|||||||||||||A bottled vision trader in the Clockwork Kingdom asked you to go and check on Nadja, one of his regular customers. ##Nadja lives at the top of a tall tenement building in the upper levels of Ferropolis.||||
20|cwkVisionTrade||Yes||||cwk_VisionTradeStarted,cwk_YasmeenHelping|cwk_LookingForYasmeen||||||||||||Yasmeen's daughter Nadja has fallen into an endless sleep due to her bottled vision addiction, leaving her family on the brink of ruin. ##Confront Vidal the vision trader at his shop in Ferropolis, and find out whether Nadja can be cured.||||
30|cwkVisionTrade||||||cwk_LookingForPripp,cwk_VidalToldNadja|cwk_VidalStartedQuest,cwk_YasmeenStartedQuest||||||||||||Yasmeen's daughter Nadja has fallen into an endless sleep due to her bottled vision addiction, leaving her family on the brink of ruin. ##Vidal the vision trader advised you to seek help from Doctor Pripp at the Royal Vision Works in the far northeast of the Clockwork Kingdom, beyond the mountains.||||
40|cwkVisionTrade|||||||||||||||||||Yasmeen's daughter Nadja has fallen into an endless sleep due to her bottled vision addiction, leaving her family on the brink of ruin. ##You arrived at the Royal Vision Works in search of a cure, but the clerk won't let you see Doctor Pripp. Persuade her, or find another way in.||||
50|cwkVisionTrade|||||||cwk_LookingForPripp||||||||||||Yasmeen's daughter Nadja has fallen into an endless sleep due to bottled vision addiction, leaving her family on the brink of ruin. ##You managed to find a way inside the Royal Vision Works, where you've been told you might find a cure for Nadja. Now look for Doctor Pripp.||||
60|cwkVisionTrade||||||cwk_YasmeenDeciding|cwk_LookingForPripp||||||||||||Yasmeen's daughter Nadja has fallen into an endless sleep due to bottled vision addiction, and the sickness is incurable. ##Doctor Pripp offered Nadja a place at the Royal Vision Works, where her dreams will be harvested industrially. ##Alternatively, Yasmeen could buy a 'dream crown' and start bottling Nadja's visions in her own home. ##Return to Yasmeen in Ferropolis and see what she thinks.||||
65|cwkVisionTrade|||||||||||||||||||Yasmeen's daughter Nadja has fallen into an endless sleep due to bottled vision addiction, and the sickness is incurable. ##Doctor Pripp promised you a finder's fee if you persuade her to check Nadja into the Royal Vision Works. ##Alternatively, you could give Yasmeen money to buy a 'dream crown', so that she could bottle Nadja's visions in her own home. ##Let Yasmeen know your decision.||||
70|cwkVisionTrade||||||cwk_YasmeenSignedContract|cwk_YasmeenRejectedContract,cwk_YasmeenHelping,cwk_YasmeenDeciding||||||||||||Yasmeen decided to send her daughter Nadja to the Royal Vision Works, where her dreams will be harvested until a cure to her sickness is found. ##As thanks for your help, Yasmeen gave you the deed to her family home outside Ferropolis. ##Pick up your finder's fee from Vidal the vision trader to settle this affair.||||
80|cwkVisionTrade|||Yes|||||||||1|||||||Yasmeen decided to send her daughter Nadja to the Royal Vision Works, allowing her to live comfortably on the proceeds of Nadja's dreams until her sickness can be cured. ##As thanks for your help, Yasmeen gave you the deed to her family home outside Ferropolis, giving you a permanent base inside the Clockwork Kingdom.||||
90|cwkVisionTrade|||Yes|||cwk_YasmeenRejectedContract|cwk_YasmeenSignedContract,cwk_YasmeenHelping,cwk_YasmeenDeciding|||||1|||||||You gave Yasmeen money to set herself up as an independent bottled vision producer, selling Nadja's visions from home until her sickness can be cured. ##As thanks for your help, Yasmeen gave you the deed to her family home outside Ferropolis, giving you a permanent base inside the Clockwork Kingdom.||||
pwyllShroom|pwyllShroom|FactionMushroom|||||||||||||||||15|Secrets and Spores||||
10|pwyllShroom||Yes|||||||||||||||||In Pwyll Village you met a young man called Lludd, who spoke of Pwyll's failing crops - and how the villagers are being driven to illegal god-worship. ##Weighmaster Culwych is trying to stop this, and you should speak to him for more information. ||||
20|pwyllShroom||Yes||||CulwychFirstSpokenTo|||||||||||||In Pwyll Village you met weighmaster Culwych, who refuses to speak with you until you are weighed on his enormous scales. ##You should probably humour him.||||
25|pwyllShroom|||||20|WeighedByCulwych,Pwyll_StartQuestWithCulwych|||||||||||||In Pwyll Village you met weighmaster Culwych, who refused to speak with you until you were weighed on his enormous scales. ##You've weighed yourself, and so should probably report back to him.||||
30|pwyllShroom||||||Pwyll_LookingForCultists,Pwyll_CulwychQuestions,Pwyll_CanInterrogateDwynn,Pwyll_GodCaveOpen|Pwyll_StartQuestWithCulwych||||||||||||In Pwyll Village you met weighmaster Culwych, who is worried that failing crops are leading some to resort to illegal practices. ##You should investigate the village for signs of god-worship and cultism. ||||
32|pwyllShroom|||||30|Pwyll_ShowEvidence,Pwyll_SearchedMayorBasement,WeighedByCulwych|||||||||||||In Pwyll Village you met weighmaster Culwych, who wants you to investigate the village for signs of god-worship and cultism. ##In Mayor Olwen's basement you found suspicious Wikkan artefacts.||||
35|pwyllShroom|||||||||||||||||||In Pwyll Village you met weighmaster Culwych, who wants you to investigate the village for signs of god-worship and cultism. ##You've been advised that someone at the Scryshroom Company might know something useful. ||||
40|pwyllShroom|||||||||||||||||||In Pwyll Village you met weighmaster Culwych, who wants you to investigate the village for signs of god-worship and cultism. ##You've been advised that someone could be skulking around at night - so you could try resting in the Scryshroom Company's bed until nightfall. ||||
45|pwyllShroom||||||Pwyll_SpokeToCultist,Pwyll_ShowEvidence|||||||||||||In Pwyll Village you met weighmaster Culwych, who wants you to investigate the village for signs of god-worship and cultism. ##You met a suspicious figure skulking around after nightfall. You should follow them and see what they're up to. ||||
50|pwyllShroom|||||25,30,32,35,40,45|Pwyll_FoundEvidence,Pwyll_ShowEvidence,WeighedByCulwych|Pwyll_LookingForCultists,Pwyll_CanInterrogateDwynn,Pwyll_SearchedMayorBasement||||||||||||In Pwyll Village you found evidence of god-worship deep in the caves under the town. Weighmaster Culwych will surely want to hear of this. ||||
60|pwyllShroom|||||||Pwyll_FoundEvidence,Pwyll_SpokeToCultist,Pwyll_ShowEvidence|pwyllSacredKey|pwyllSacredKey||||||||||In Pwyll Village you found evidence of god-worship, and Weighmaster Culwych thinks an occult sacrifice might be taking place in the Sacred Shroom to the north-west. He has asked you to enter the giant mushroom and investigate. ||||
70|pwyllShroom|||||||||||||||||||In the Sacred Shroom in Pwyll, you've discovered a partially-digested young man surrounded by occult instruments. You should try and speak with him. ||||
80|pwyllShroom||||||LluddSacrificed,Pwyll_ShroomResolved,Pwyll_OlwenLluddResolution|Pwyll_CulwychQuestions,SpokenToLluddVillage1,Pwyll_ShowEvidence||||||||||||In the Sacred Shroom in Pwyll, you found Lludd trying to sacrifice himself for the good of the village. ##You allowed him to die so the village might prosper. You should inform Culwych what has happened.||||
90|pwyllShroom|||Yes||||Pwyll_ShroomResolved||passport||20|1|||||||In Pwyll's Sacred Shroom, Lludd sacrificed himself so that the ancient god Anguin might grant a fertile harvest to the region once more. ||||
100|pwyllShroom||||||LluddSaved,Pwyll_ShroomResolved,Pwyll_OlwenLluddResolution|Pwyll_CulwychQuestions,SpokenToLluddVillage1,Pwyll_ShowEvidence||||||||||||In the Sacred Shroom in Pwyll, you found Lludd trying to sacrifice himself for the good of the village. ##You stopped him from throwing away his life. You should inform Culwych what has happened. ||||
110|pwyllShroom|||Yes||||Pwyll_ShroomResolved||passport||20|1|||||||In Pwyll's Sacred Shroom, you stopped Lludd from sacrificing himself for the good of the village. ||||
pwyllMercs|pwyllMercs|QuestMushroom|||||||||||||||||16|The Rotten Onions ||||
10|pwyllMercs||Yes||||SpokenToLluddVillage2|||||||||||||In Pwyll Village a young man called Lludd told you that his mother - the mayor - is very worried about a certain monster. You should pay her a visit.||||
20|pwyllMercs||Yes|||||||||||||||||In Pwyll you met a guard of the Rotten Onion mercenary company, who mentioned that they're threatening the mayor of Pwyll Village with a giant monster. ##Perhaps you should talk to the mayor about this. ||||
30|pwyllMercs||Yes||||Pwyll_LookingForNautilob,SpokenToOlwen|||||||||||||Olwen, The mayor of Pwyll Village, has told you that a mercenary company is threatening the town with a giant monster. ##She has asked you to investigate their camp, to the south-east, and find a way to stop them. ||||
40|pwyllMercs|||||||||||||||||||Olwen, The mayor of Pwyll Village, has told you that a mercenary company is threatening the town with a giant monster. ##The ex-mercenary Nudd has told you to be cautious - as he doesn't think a monster of that type exists. Could this be a bluff? ||||
50|pwyllMercs||||||DiscoveredNautilobTrick,pwyllMercs_ReturnToOlwen,DiscoveredNautilobTrickPeacefully|Pwyll_LookingForNautilob||||||||||||You discovered that the Rotten Onion mercenaries, who have been threatening Pwyll Village with a monster, have been bluffing all along - the monster is actually an illusion. ##You should report back to mayor OIwen with your findings. ||||
60|pwyllMercs|||Yes|||pwyllMercs_PeacefulEnd|pwyllMercs_ReturnToOlwen||treasure|2|20|1|||||||You discovered that the Rotten Onion mercenaries were threatening Pwyll with an illusory monster, and posed no real threat. ##You managed to solve the situation without too much bloodshed, and Pwyll's mayor was very grateful. ||||
70|pwyllMercs||Yes||||RottenOnionsKilled,pwyllMercs_ReturnToOlwen|DiscoveredNautilobTrickPeacefully,Pwyll_LookingForNautilob||||||||||||You killed the leader of the Rotten Onion mercenaries, who have been threatening Pwyll village. ##The mayor of the village will surely want to hear of this. ||||
80|pwyllMercs|||Yes|||pwyllMercs_ViolentEnd|pwyllMercs_ReturnToOlwen||treasure|2|20|1|||||||You took care of the Rotten Onion mercenaries who had been threatening Pwyll Village, even if you did have to spill some blood to make the problem go away. ||||
pwyllLedger|pwyllLedger|QuestMushroom|||||||||||||||||17|A Debt Unpaid||||
10|pwyllLedger||Yes||||Pwyll_LookingForLedger,Pwyll_CanAskOlwenAboutMercs|||||||||||||You met a Rotten Onion mercenary in the south-east of Pwyll, who claims they have not been paid by the village's mayor. ##He says that if you steal the mayor's ledger, you'll be allowed into the Rotten Onion camp.||||
15|pwyllLedger|||||||||||||||||||You met a Rotten Onion mercenary in the south-east of Pwyll, who claims they have not been paid by the village's mayor. He says that if you steal the mayor's ledger, you'll be allowed into the Rotten Onion camp. ##He also added that your best chance of finding the ledger would be to sneak in at night. ||||
20|pwyllLedger||Yes||||||pwyllLedgerItem|pwyllLedgerItem||||||||||You met a Rotten Onion mercenary in the south-east of Pwyll, who claims they have not been paid by the village's mayor. ##You stole the mayor's ledger, as requested by the mercenary - and should return it to him to gain access to their camp. ||||
30|pwyllLedger|||Yes|||RottenOnionsFriendly|||||10|1||pwyllLedgerItem||RottenOnions|20||You gained access to the Rotten Onion mercenary camp in the south-east of Pwyll, after stealing the mayor's ledger and giving it to them. ||||
35|pwyllLedger|||Yes|||RottenOnionsFriendly||||||1||||RottenOnions|20||You gained access to the Rotten Onion mercenary camp in the south-east of Pwyll, by flattering the guard.||||
40|pwyllLedger||Yes|Yes|||||||||1||pwyllLedgerItem|||||You gained access to the Rotten Onion mercenary camp in the south-east of Pwyll, by killing the guard at the gates.||||
pwyllMech|pwyllMech|QuestMushroom|||||||||||||||||18|Militant Agriculture||||
10|pwyllMech||Yes||||PwyllMech_Destroyed,PwyllMech_ResolvedEarly|||||||||||||You destroyed a rogue machine in the south-east of Pwyll. Perhaps the nearby residents will be grateful? ||||
20|pwyllMech||Yes||||PwyllMech_ShutDown,PwyllMech_ResolvedEarly|||||||||||||You found a strange device in the south-east of Pwyll, which seemed to control a rogue machine. ##You managed to shut down the device - perhaps the nearby residents will be grateful? ||||
30|pwyllMech||Yes||||PwyllMech_Passified,PwyllMech_ResolvedEarly|||||||||||||You found a strange device in the south-east of Pwyll, which seemed to control a rogue machine. ##You managed to change the device's protocols to make it friendly - perhaps the nearby residents will be grateful? ||||
40|pwyllMech||Yes||||PwyllMech_AcceptedQuest|||||||||||||You met a farmer in the south-east of Pwyll whose crops have been raided by a rogue machine. ##He has asked you to disable it, either with violence or through less direct means. ||||
50|pwyllMech||||||PwyllMech_Destroyed,PwyllMech_Resolved|||||||||||||You destroyed the mech that has been raiding farmsteads in Pwyll. You should return to the farmer at the south-east of the island to claim your reward. ||||
60|pwyllMech||||||PwyllMech_ShutDown,PwyllMech_Resolved|||||||||||||You shut down the mech that has been raiding farmsteads in Pwyll. You should return to the farmer at the south-east of the island to claim your reward. ||||
70|pwyllMech||||||PwyllMech_Passified,PwyllMech_Resolved|||||||||||||You pacified the mech that has been raiding farmsteads in Pwyll. You should return to the farmer at the south-east of the island to claim your reward. ||||
80|pwyllMech|||Yes||||PwyllMech_Resolved||||10|1|||||||You shut down the mech that had been raiding farmsteads in Pwyll. ||||
90|pwyllMech|||Yes||||PwyllMech_Resolved||treasure|1||1|||||||You changed the protocols of the mech that had been raiding farmsteads in Pwyll, so that it would help the farmers in the region - rather than hinder them. ||||
shipwreck|shipwreck|FactionInq|||||||||||||||||3|The Rasmussen Sphere||||
10|shipwreck||Yes|||||||||||||||||To face Vela in the Cradle, you'll need to upgrade the cutter with a device that can pierce its powerful force-fields. ##The High Confessor has heard rumour that one such device was lost in an Emberian wreck on a [[distant island]]; but you'll need an [[airship]] to search for it. ||||
15|shipwreck|||||||||||||||||||To face Vela in the Cradle, you'll need to upgrade the cutter with a device that can pierce its powerful force-fields. ##You've found a [[desert island]] to the [[south]] of the Oneiric Isles where an ancient Emberian ship has run aground; could this be what you're searching for?||||
20|shipwreck||Yes|||||||||||||||||To face Vela in the Cradle, you'll need to upgrade the cutter. ##On a desert island you found a man who claims to be the descendant of Emberian castaways; he says if you can find [[two switches]] in the various shacks on the island, you can unlock the [[Emberian wreck]] and reclaim its powerful [[Rasmussen Sphere.]]||||
25|shipwreck||Yes|||||||||||||||||To face Vela in the Cradle, you'll need to upgrade the cutter with a device that can pierce its powerful force-fields. ##You've found a [[desert island]] to the [[south]] of the Oneiric Isles where an ancient Emberian ship has run aground, and have flicked a mysterious switch that didn't seem to do anything. You should explore further. ||||
26|shipwreck||Yes|||||||||||||||||To face Vela in the Cradle, you'll need to upgrade the cutter. ##On a desert island you found a man who claims to be the descendant of Emberian castaways; he says if you can find [[one more switch]] in the various shacks on the island, you can unlock the [[Emberian wreck]] and reclaim its powerful [[Rasmussen Sphere.]]||||
30|shipwreck||Yes||||isleDesert_shipUnlocked|||||||||||||To face Vela in the Cradle, you'll need to upgrade the cutter with a device that can pierce its powerful force-fields. ##You've found a [[desert island]] to the [[south]] of the Oneiric Isles where an ancient Emberian ship has run aground, and you have flicked two switches that have disabled the wreck's security systems. You should search inside. ||||
